,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
311,Mark,Travers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,0.0
312,Harry,Tyrer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
313,Jarrad,Branthwaite,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,53,DEF,0.0
314,James,Tarkowski,0,0,26,450,5,21.3,131.2,17.0,0,78,17.0,2,0,0,7.6,55,DEF,4.7
315,Vitalii,Mykolenko,0,0,2,175,4,16.7,19.2,6.0,0,3,4.2,0,0,0,0.4,49,DEF,0.4
316,Jake,O'Brien,0,0,16,450,5,36.0,53.2,20.0,0,44,11.0,2,0,0,0.5,50,DEF,3.2
317,Séamus,Coleman,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,44,DEF,0.2
318,Michael,Keane,0,0,20,450,5,12.4,94.8,40.0,0,68,14.7,2,0,0,0.7,45,DEF,4.4
319,Nathan,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF,0.0
320,Roman,Dixon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF,0.0
321,Reece,Welch,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
322,Iliman,Ndiaye,2,1,28,418,5,91.1,142.0,81.0,0,108,31.5,2,0,1,9.9,65,MID,4.3
323,Dwight,McNeil,0,0,1,19,0,11.3,0.0,8.0,0,2,1.8,0,0,0,0.2,57,MID,0.2
324,Carlos,Alcaraz Durán,0,0,4,117,1,4.8,14.6,21.0,0,21,4.0,0,0,1,0.1,53,MID,0.8
325,Idrissa Gana,Gueye,1,0,20,435,4,47.9,82.0,58.0,1,95,18.8,2,0,0,0.1,54,MID,3.7
326,James,Garner,1,0,25,450,5,93.0,129.8,15.0,3,116,23.8,2,0,1,0.6,50,MID,5.0
327,Tim,Iroegbunam,0,0,7,219,1,5.1,32.4,5.0,0,20,4.3,3,0,3,0.0,49,MID,1.4
328,Harrison,Armstrong,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,45,MID,0.2
329,Callum,Bates,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
330,Coby,Ebere,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
331,Isaac,Heath,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
332,Jenson,Metcalfe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
333,Thierno,Barry,0,0,6,141,1,8.6,6.6,29.0,0,9,3.7,1,0,0,0.4,58,FWD,1.0
334,Norberto Bercique,Gomes Betuncal,1,0,12,310,4,18.4,42.4,91.0,1,35,14.1,1,0,1,5.0,54,FWD,2.2
335,Youssef,Ramalho Chermiti,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,FWD,0.0
336,Martin,Sherif,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD,0.0
337,Jack,Grealish,0,4,25,376,5,178.0,148.6,121.0,4,122,44.8,2,0,2,22.8,68,MID,3.7
338,Tom,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,40,GK,0.0
339,Adam,Aznou,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF,0.0
340,Tyler,Onyango,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
341,Elijah,Campbell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF,0.0
342,Tyler,Dibling,0,0,1,4,0,0.5,0.0,0.0,0,2,0.0,0,0,0,0.0,55,MID,0.2
343,Merlin,Röhl,0,0,1,24,0,10.7,3.0,1.0,0,5,1.5,0,0,0,0.0,50,MID,0.2
344,Bernd,Leno,0,0,17,450,5,0.0,119.4,0.0,1,77,11.9,1,0,1,1.6,50,GK,3.4
345,Steven,Benda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
346,Antonee,Robinson,0,0,2,51,0,21.5,11.8,4.0,0,9,3.8,0,0,0,0.8,50,DEF,0.4
347,Joachim,Andersen,0,0,23,450,5,27.4,123.2,29.0,2,88,17.9,1,0,0,3.9,45,DEF,5.1
348,Calvin,Bassey,0,0,17,450,5,7.5,80.8,9.0,3,65,9.8,1,0,1,0.6,45,DEF,3.8
349,Timothy,Castagne,0,0,3,126,3,19.1,14.8,28.0,0,3,6.2,0,0,0,0.1,44,DEF,0.7
