,name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
687,Phil Foden,MID,Man City,3.1,0,0,0,0,0,0.0,0,414,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,20,0,0,0,0,0,1,0,112706,0,0,4,0,0.0,0,0,0,0,80,False,0,1
688,Ederson Santana de Moraes,GK,Man City,4.5,0,0,0,0,0,0.0,0,399,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,20,0,0,0,0,0,1,0,300506,0,0,4,0,0.0,0,0,0,0,55,False,0,1
689,Milan Aleksić,MID,Sunderland,1.0,0,0,0,0,0,0.0,0,546,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,3560,0,0,0,3,0.0,0,0,0,0,50,True,0,1
690,Reinildo Mandava,DEF,Sunderland,4.5,0,0,14,0,7,10.4,12,541,0.02,0.02,0.0,1.0,14,2,0,4.0,29.4,2025-08-23T14:00:00Z,90,False,3,0,0,0,3,0,2,0,917180,1,5,0,2,0.0,3,134563,177090,42527,40,False,0,2
691,Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,5,0,0,0,0,0,2,0,6465,0,0,0,1,0.0,0,-562,555,1117,50,False,0,2
692,Ryan Christie,MID,Bournemouth,0.4,0,0,3,0,1,13.1,2,87,0.02,0.08,0.06,0.06,12,0,0,2.3,4.4,2025-08-23T14:00:00Z,24,False,20,0,0,0,1,0,2,0,8285,0,0,0,1,5.0,1,-2349,82,2431,50,True,0,2
693,Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,17,0,0,0,0,0,2,0,4775,0,0,0,2,0.0,0,-1822,140,1962,50,True,0,2
694,Lucas Tolentino Coelho de Lima,MID,West Ham,5.0,0,2,39,0,1,18.3,11,612,0.09,0.16,0.07,2.74,20,5,1,8.7,54.4,2025-08-22T19:00:00Z,90,False,7,0,0,0,5,0,2,0,91594,1,5,5,1,14.0,9,-28045,3894,31939,59,True,0,2
695,Jorrel Hato,DEF,Chelsea,0.5,0,0,-2,0,1,1.0,1,672,0.0,0.0,0.0,0.44,20,0,0,0.2,1.2,2025-08-22T19:00:00Z,21,False,19,0,0,0,1,0,2,0,32123,0,0,5,1,0.0,0,-4824,2024,6848,50,False,1,2
696,Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,2,0,0,0,0,0,2,0,4654,0,0,0,1,0.0,0,-236,349,585,45,True,0,2
697,Bashir Humphreys,DEF,Burnley,0.0,0,0,0,0,0,0.0,0,193,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,17,0,0,0,0,0,2,0,5317,0,0,0,2,0.0,0,-949,122,1071,40,True,0,2
698,Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,20,0,0,0,0,0,2,0,20436,0,0,0,1,0.0,0,-1174,1715,2889,45,True,0,2
699,Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,17,0,0,0,0,0,2,0,6007,0,0,0,2,0.0,0,-744,245,989,50,True,0,2
700,Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2025-08-24T13:00:00Z,0,False,6,0,0,0,0,0,2,0,9346,0,0,0,2,0.0,0,-491,775,1266,45,True,0,2
701,Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2025-08-24T13:00:00Z,0,False,6,0,0,0,0,0,2,0,13983,0,0,0,2,0.0,0,-326,511,837,40,True,0,2
702,Etienne Green,GK,Burnley,0.0,0,0,0,0,0,0.0,0,184,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,17,0,0,0,0,0,2,0,47974,0,0,0,2,0.0,0,-70,2535,2605,40,True,0,2
703,Destiny Udogie,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,574,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2025-08-23T11:30:00Z,0,False,13,0,0,0,0,0,2,0,57426,0,0,2,0,0.0,0,-29999,352,30351,45,False,0,2
704,Simon Moore,GK,Sunderland,0.0,0,0,0,0,0,0.0,0,529,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,3,0,0,0,0,0,2,0,53868,0,0,0,2,0.0,0,-1015,2053,3068,40,False,0,2
705,Ben Winterburn,MID,Bournemouth,0.5,0,0,0,0,0,0.0,0,96,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,20,0,0,0,0,0,2,0,11048,0,0,0,1,0.0,0,750,2001,1251,45,True,0,2
706,Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2025-08-23T11:30:00Z,0,False,13,0,0,0,0,0,2,0,735,0,0,2,0,0.0,0,-348,0,348,50,False,0,2
707,Pape Matar Sarr,MID,Spurs,4.0,0,0,7,1,1,1.5,9,593,0.01,0.04,0.03,1.55,18,0,0,2.7,6.2,2025-08-23T11:30:00Z,90,False,13,0,0,0,6,0,2,0,296195,1,2,2,0,19.0,3,3187,42228,39041,50,False,0,2
708,Hákon Rafn Valdimarsson,GK,Brentford,0.0,0,0,0,0,0,0.0,0,105,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,2,0,0,0,0,0,2,0,102366,0,0,0,1,0.0,0,-3470,1750,5220,40,True,0,2
709,Toby Collyer,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,460,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2025-08-24T15:30:00Z,0,False,10,0,0,0,0,0,2,0,9906,0,0,1,1,0.0,0,-2221,423,2644,45,False,0,2
710,Marcos Senesi Barón,DEF,Bournemouth,5.5,0,1,31,1,13,0.9,14,72,0.01,0.01,0.0,0.46,12,0,0,2.8,25.0,2025-08-23T14:00:00Z,90,False,20,0,0,0,4,0,2,0,150492,1,1,0,1,2.0,9,44438,55666,11228,45,True,0,2
711,Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,395,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2025-08-25T19:00:00Z,0,False,15,0,0,0,0,0,2,0,460,0,0,3,2,0.0,0,-158,0,158,45,False,0,2
712,Alexis Mac Allister,MID,Liverpool,3.0,0,0,0,0,0,0.0,0,386,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2025-08-25T19:00:00Z,0,False,15,0,0,0,0,0,2,0,212641,0,0,3,2,0.0,0,886,21770,20884,65,False,0,2
713,André Trindade da Costa Neto,MID,Wolves,2.5,0,0,8,0,1,1.8,5,643,0.01,0.01,0.0,0.57,12,0,0,1.0,8.0,2025-08-23T14:00:00Z,45,False,4,0,0,0,2,0,2,0,10358,0,2,0,1,0.0,1,800,1863,1063,55,False,0,2
714,Harrison Ashby,DEF,Newcastle,-0.5,0,0,0,0,0,0.0,0,482,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2025-08-25T19:00:00Z,0,False,12,0,0,0,0,0,2,0,14541,0,0,3,2,0.0,0,-1269,304,1573,40,True,0,2
715,Samuel Amissah,DEF,Fulham,0.0,0,0,0,0,0,0.0,0,323,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2025-08-24T15:30:00Z,0,False,14,0,0,0,0,0,2,0,17804,0,0,1,1,0.0,0,-1425,556,1981,40,True,0,2
716,Luís Hemir Silva Semedo,FWD,Sunderland,0.0,0,0,0,0,0,0.0,0,563,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,3,0,0,0,0,0,2,0,20018,0,0,0,2,0.0,0,-1435,1147,2582,45,False,0,2
717,Adama Traoré Diarra,MID,Fulham,0.5,0,0,0,0,0,0.0,0,326,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2025-08-24T15:30:00Z,0,False,14,0,0,0,0,0,2,0,29589,0,0,1,1,0.0,0,-5031,874,5905,55,True,0,2
718,Yasin Ayari,MID,Brighton,2.5,0,0,10,0,1,3.9,6,166,0.02,0.17,0.15,1.2,16,2,0,3.3,10.6,2025-08-24T13:00:00Z,66,False,9,0,0,0,2,0,2,0,21546,1,3,0,2,18.0,2,-1298,1481,2779,50,False,0,2
719,Mateo Kovačić,MID,Man City,0.0,0,0,0,0,0,0.0,0,422,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2025-08-23T11:30:00Z,0,False,18,0,0,0,0,0,2,0,1060,0,0,2,0,0.0,0,-225,77,302,60,True,0,2
720,Thierno Barry,FWD,Everton,1.5,0,0,1,1,0,2.2,0,310,0.01,0.36,0.35,1.48,16,0,0,1.2,0.0,2025-08-24T13:00:00Z,63,False,6,0,0,0,0,0,2,0,69052,1,0,0,2,14.0,2,-10450,4318,14768,60,True,0,2
721,Ollie Scarles,DEF,West Ham,-0.5,0,0,0,0,0,0.0,0,608,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2025-08-22T19:00:00Z,0,False,7,0,0,0,0,0,2,0,3788,0,0,5,1,0.0,0,-505,63,568,45,True,0,2
722,Rico Lewis,DEF,Man City,6.5,0,0,3,0,4,14.8,6,410,0.08,0.1,0.02,1.11,18,2,0,3.6,16.4,2025-08-23T11:30:00Z,90,False,18,0,0,0,3,0,2,0,397782,1,2,2,0,5.0,1,192352,222966,30614,50,True,0,2
723,Brenden Aaronson,MID,Leeds,0.0,0,0,6,0,0,0.4,3,350,0.04,0.04,0.0,0.87,11,1,0,0.3,2.2,2025-08-23T16:30:00Z,24,False,1,0,0,0,2,0,2,0,6780,0,1,0,5,0.0,1,-1042,364,1406,55,False,0,2
724,Eliezer Mayenda Dossou,FWD,Sunderland,5.0,0,0,3,0,2,0.3,5,561,0.0,0.3,0.3,0.34,14,1,0,3.1,11.2,2025-08-23T14:00:00Z,62,False,3,0,0,0,2,0,2,0,231418,1,1,0,2,19.0,2,139236,166506,27270,55,False,0,2
725,Steven Benda,GK,Fulham,0.0,0,0,0,0,0,0.0,0,315,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2025-08-24T15:30:00Z,0,False,14,0,0,0,0,0,2,0,859,0,0,1,1,0.0,0,-105,0,105,40,True,0,2
726,Myles Lewis-Skelly,DEF,Arsenal,1.5,0,0,7,0,0,3.7,1,10,0.0,0.0,0.0,0.0,11,0,0,0.8,4.2,2025-08-23T16:30:00Z,26,False,11,0,0,0,2,0,2,0,406745,0,1,0,5,0.0,1,-53448,19189,72637,55,True,0,2
727,Hugo Bueno López,DEF,Wolves,0.5,0,0,3,0,2,18.7,3,633,0.1,0.16,0.06,0.57,12,0,0,2.9,5.6,2025-08-23T14:00:00Z,45,False,4,0,0,0,1,0,2,0,9303,0,1,0,1,5.0,0,41,840,799,45,False,1,2
728,Milan Aleksić,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,546,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,3,0,0,0,0,0,2,0,3948,0,0,0,2,0.0,0,-587,149,736,50,False,0,2
729,Toti Gomes,DEF,Wolves,-1.0,0,0,-9,0,6,0.6,6,637,0.0,0.0,0.0,0.72,12,1,0,0.8,7.6,2025-08-23T14:00:00Z,48,False,4,0,0,0,2,1,2,0,17890,1,0,0,1,0.0,-2,-968,882,1850,45,False,0,2
730,Ismaïla Sarr,MID,Crystal Palace,5.5,0,1,20,0,0,2.8,4,267,0.04,0.59,0.55,0.93,15,1,1,5.6,36.0,2025-08-24T13:00:00Z,90,False,16,0,0,0,2,0,2,0,493698,1,2,1,1,17.0,8,-38601,27142,65743,65,True,0,2
731,Abdukodir Khusanov,DEF,Man City,1.0,0,0,0,0,0,0.0,0,406,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2025-08-23T11:30:00Z,0,False,18,0,0,0,0,0,2,0,38991,0,0,2,0,0.0,0,-5550,1889,7439,55,True,0,2
732,André Onana,GK,Man Utd,0.0,0,0,0,0,0,0.0,0,432,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2025-08-24T15:30:00Z,0,False,10,0,0,0,0,0,2,0,31425,0,0,1,1,0.0,0,-882,2308,3190,50,False,0,2
733,Rio Cardines,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,690,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2025-08-24T13:00:00Z,0,False,16,0,0,0,0,0,2,0,25226,0,0,1,1,0.0,0,7512,10229,2717,45,True,0,2
734,Alejandro Garnacho Ferreyra,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,453,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2025-08-24T15:30:00Z,0,False,10,0,0,0,0,0,2,0,20240,0,0,1,1,0.0,0,-3479,776,4255,65,False,0,2
735,Dan Neil,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,549,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,3,0,0,0,0,0,2,0,3918,0,0,0,2,0.0,0,-578,83,661,50,False,0,2
736,Kiernan Dewsbury-Hall,MID,Everton,2.0,0,0,14,1,1,54.3,3,242,0.17,0.17,0.0,2.43,16,0,0,6.1,6.8,2025-08-24T13:00:00Z,90,False,6,0,0,0,2,0,2,0,469863,1,0,0,2,0.0,2,-24825,22379,47204,50,True,1,2
737,Kieran Trippier,DEF,Newcastle,3.0,0,0,-2,0,0,11.6,0,478,0.08,0.08,0.0,0.33,19,2,0,1.1,0.0,2025-08-25T19:00:00Z,75,False,12,0,0,0,4,0,2,0,242108,1,0,3,2,0.0,1,8172,22341,14169,50,True,0,2
